#Wave     G         Gbp3      Grp3      Grvs
5580.0    0.682235  0.621016  0.000000  0.000000
5590.0    0.682489  0.619945  0.000000  0.000000
5600.0    0.683373  0.619327  0.000000  0.000000
5610.0    0.683573  0.618056  0.000000  0.000000
5620.0    0.684491  0.617420  0.000000  0.000000
5630.0    0.684829  0.616247  0.000000  0.000000
5640.0    0.685510  0.615370  0.000000  0.000000
5650.0    0.685967  0.614279  0.000000  0.000000
5660.0    0.686277  0.613046  0.000000  0.000000
5670.0    0.687172  0.612320  0.000000  0.000000
5680.0    0.687640  0.611200  0.000000  0.000000
5690.0    0.687386  0.609421  0.000000  0.000000
5700.0    0.688219  0.608587  0.000000  0.000000
5710.0    0.688276  0.607049  0.000000  0.000000
5720.0    0.688661  0.605885  0.000000  0.000000
5730.0    0.689092  0.605187  0.000000  0.000000
5740.0    0.689951  0.605313  0.000000  0.000000
5750.0    0.690116  0.605269  0.000000  0.000000
5760.0    0.690545  0.605895  0.000000  0.000000
5770.0    0.691101  0.607065  0.000000  0.000000
5780.0    0.692207  0.609151  0.000000  0.000000
5790.0    0.692399  0.610864  0.000000  0.000000
5800.0    0.692909  0.613288  0.000000  0.000000
5810.0    0.693809  0.616486  0.000000  0.000000
5820.0    0.693857  0.619356  0.000000  0.000000
5830.0    0.694811  0.623466  0.000000  0.000000
5840.0    0.694964  0.627266  0.000000  0.000000
5850.0    0.695049  0.630766  0.000000  0.000000
5860.0    0.694908  0.633546  0.000000  0.000000
5870.0    0.696212  0.637132  0.000000  0.000000
5880.0    0.696759  0.639512  0.000000  0.000000
5890.0    0.697678  0.641722  0.000000  0.000000
5900.0    0.698360  0.643203  0.000000  0.000000
5910.0    0.698097  0.643306  0.000000  0.000000
5920.0    0.697536  0.642637  0.000000  0.000000
5930.0    0.698671  0.643044  0.000000  0.000000
5940.0    0.699130  0.642342  0.000000  0.000000
5950.0    0.699649  0.641218  0.000000  0.000000
5960.0    0.700920  0.640308  0.000000  0.000000
5970.0    0.700476  0.637372  0.000000  0.000000
5980.0    0.700833  0.634715  0.000000  0.000000
5990.0    0.700785  0.631253  0.000000  0.000000
6000.0    0.701281  0.627856  0.000000  0.000000
6010.0    0.702979  0.625131  0.000000  0.000000
6020.0    0.702561  0.620819  0.000000  0.000000
6030.0    0.702904  0.617807  0.000000  0.000000
6040.0    0.703731  0.615827  0.000000  0.000000
6050.0    0.703630  0.613625  0.000000  0.000000
6060.0    0.704115  0.612503  0.000000  0.000000
6070.0    0.704180  0.611550  0.000000  0.000000
6080.0    0.705022  0.611800  0.000000  0.000000
6090.0    0.705677  0.612404  0.000000  0.000000
6100.0    0.705926  0.613169  0.000107  0.000000
6110.0    0.706856  0.615032  0.000150  0.000000
6120.0    0.706706  0.616459  0.000216  0.000000
6130.0    0.707330  0.619060  0.000310  0.000000
6140.0    0.707692  0.621930  0.000459  0.000000
6150.0    0.708372  0.625580  0.000705  0.000000
6160.0    0.708807  0.629519  0.001088  0.000000
6170.0    0.708918  0.633682  0.001757  0.000000
6180.0    0.708520  0.637904  0.002967  0.000000
6190.0    0.709231  0.643645  0.005111  0.000000
6200.0    0.709946  0.649530  0.008959  0.000000
6210.0    0.710313  0.654458  0.014024  0.000000
6220.0    0.711336  0.659321  0.022717  0.000000
6230.0    0.710920  0.662173  0.036783  0.000000
6240.0    0.710400  0.664237  0.058311  0.000000
6250.0    0.710870  0.666535  0.089419  0.000000
6260.0    0.711197  0.668011  0.131500  0.000000
6270.0    0.711808  0.669064  0.185014  0.000000
6280.0    0.711905  0.668948  0.248642  0.000000
6290.0    0.712401  0.668529  0.319951  0.000000
6300.0    0.712287  0.666866  0.394535  0.000000
6310.0    0.712852  0.665185  0.468484  0.000000
6320.0    0.713771  0.663193  0.537419  0.000000
6330.0    0.713692  0.659650  0.596909  0.000000
6340.0    0.713868  0.655742  0.645860  0.000000
6350.0    0.713698  0.650929  0.683215  0.000000
6360.0    0.714493  0.646428  0.710877  0.000000
6370.0    0.714678  0.640821  0.728670  0.000000
6380.0    0.715389  0.635157  0.739030  0.000000
6390.0    0.714921  0.627950  0.738273  0.000000
6400.0    0.714900  0.620668  0.728457  0.000000
6410.0    0.715025  0.613059  0.710609  0.000000
6420.0    0.715673  0.605465  0.693950  0.000000
